epoch,time(s),train_loss,test_loss,test_error(%)
001,00258,1.896083,0.00171,59.75
002,00260,1.672458,0.00153,52.81
003,00260,1.564299,0.00131,42.96
004,00263,1.454215,0.00124,41.30
005,00251,1.411895,0.00112,35.35
006,00265,1.366951,0.00107,33.52
007,00265,1.329916,0.00106,31.55
008,00262,1.330007,0.00096,27.88
009,00259,1.255755,0.00095,26.99
010,00246,1.246741,0.00090,26.31
011,00245,1.218826,0.00092,27.40
012,00256,1.177695,0.00085,24.09
013,00257,1.174162,0.00081,23.17
014,00251,1.140759,0.00084,25.48
015,00257,1.116192,0.00084,24.96
016,00261,1.094803,0.00080,23.45
017,00254,1.050953,0.00074,20.95
018,00265,1.025667,0.00070,20.07
019,00253,1.021224,0.00070,20.12
020,00252,1.002382,0.00069,20.41
021,00262,0.958345,0.00066,19.38
022,00263,0.942817,0.00064,18.34
023,00247,0.930374,0.00062,17.89
024,00254,0.890148,0.00060,17.59
025,00261,0.880447,0.00059,17.53
026,00257,0.857214,0.00056,15.90
027,00255,0.790836,0.00055,15.74
028,00264,0.784025,0.00054,15.44
029,00266,0.796400,0.00053,15.36
030,00265,0.809005,0.00053,15.51
