epoch,time(s),train_loss,test_loss,test_error(%)
001,00162,1.544489,0.00122,42.38
002,00166,1.318923,0.00098,33.84
003,00166,1.206961,0.00079,26.07
004,00169,1.183366,0.00078,24.20
005,00167,1.102880,0.00072,22.99
006,00166,1.069175,0.00067,20.75
007,00169,1.054877,0.00068,22.36
008,00173,1.023071,0.00061,18.65
009,00173,1.052428,0.00063,20.29
010,00179,1.012142,0.00060,19.29
011,00180,0.998584,0.00058,18.41
012,00178,0.955428,0.00058,18.56
013,00172,0.926059,0.00054,17.25
014,00166,0.903886,0.00053,16.33
015,00171,0.922254,0.00051,15.52
016,00174,0.863196,0.00050,15.86
017,00166,0.902911,0.00048,15.26
018,00173,0.824260,0.00046,14.44
019,00169,0.806444,0.00044,14.48
020,00168,0.801666,0.00043,13.35
