epoch,time(s),train_loss,test_loss,test_error(%)
001,00089,1.319472,0.00148,51.43
002,00084,1.034574,0.00128,42.66
003,00089,0.860407,0.00087,30.38
004,00082,0.813083,0.00081,28.64
005,00086,0.721523,0.00065,22.15
006,00082,0.666101,0.00077,26.32
007,00088,0.638548,0.00067,23.12
008,00087,0.614037,0.00054,18.98
009,00084,0.571845,0.00065,21.99
010,00086,0.557044,0.00060,20.13
011,00084,0.535380,0.00057,19.68
012,00086,0.500351,0.00052,18.04
013,00089,0.503312,0.00043,14.90
014,00086,0.515936,0.00055,19.48
015,00089,0.468534,0.00040,13.83
016,00087,0.426031,0.00042,14.17
017,00085,0.445874,0.00037,12.83
018,00082,0.396440,0.00037,12.83
019,00085,0.374920,0.00034,11.68
020,00085,0.375092,0.00038,13.16
021,00087,0.349523,0.00027,8.97
022,00086,0.313131,0.00031,10.54
023,00087,0.296010,0.00027,9.22
024,00084,0.290669,0.00024,7.87
025,00087,0.249704,0.00022,7.47
026,00087,0.219216,0.00021,6.97
027,00086,0.203297,0.00020,6.63
028,00088,0.183309,0.00019,6.33
029,00087,0.204644,0.00019,6.36
030,00087,0.168617,0.00019,6.45
