epoch,time(s),train_loss,test_loss,test_error(%)
001,00163,1.841077,0.00178,66.91
002,00157,1.511905,0.00164,58.21
003,00156,1.221995,0.00115,40.52
004,00156,0.995902,0.00106,36.74
005,00156,0.839716,0.00085,29.71
006,00155,0.762662,0.00083,28.98
007,00155,0.687726,0.00086,28.69
008,00156,0.620142,0.00069,22.90
009,00155,0.555836,0.00076,25.47
010,00156,0.518839,0.00075,24.55
011,00155,0.488269,0.00069,23.55
012,00156,0.492049,0.00072,23.30
013,00156,0.446823,0.00057,18.94
014,00157,0.386358,0.00048,16.01
015,00156,0.366092,0.00064,21.50
016,00156,0.368087,0.00049,16.54
017,00156,0.326092,0.00047,15.44
018,00158,0.319699,0.00041,13.95
019,00155,0.293796,0.00038,12.85
020,00157,0.256103,0.00035,11.95
021,00155,0.211057,0.00034,11.61
022,00156,0.199458,0.00030,9.88
023,00155,0.150027,0.00029,9.50
024,00157,0.116495,0.00027,8.51
025,00156,0.086580,0.00026,8.31
026,00156,0.075414,0.00024,7.89
027,00157,0.063036,0.00024,7.64
028,00157,0.052866,0.00023,7.57
029,00158,0.044868,0.00023,7.47
030,00156,0.048707,0.00023,7.61
