epoch,time(s),train_loss,test_loss,test_error(%)
001,00159,1.391249,0.00120,43.05
002,00160,1.148487,0.00090,29.16
003,00160,1.016095,0.00077,24.53
004,00162,0.972598,0.00073,23.50
005,00160,0.939183,0.00064,20.07
006,00163,0.879464,0.00065,21.78
007,00166,0.828161,0.00061,19.63
008,00167,0.825447,0.00059,18.33
009,00170,0.773404,0.00056,18.22
010,00171,0.834339,0.00056,18.03
011,00167,0.799110,0.00064,21.12
012,00173,0.761099,0.00051,16.45
013,00168,0.729464,0.00052,16.84
014,00164,0.724572,0.00049,16.18
015,00164,0.698609,0.00050,16.73
016,00168,0.670196,0.00046,14.45
017,00167,0.635505,0.00040,12.38
018,00167,0.620889,0.00046,14.62
019,00166,0.630055,0.00036,11.14
020,00164,0.597396,0.00038,11.77
021,00162,0.569079,0.00033,10.10
022,00170,0.583180,0.00033,9.75
023,00165,0.475039,0.00030,9.21
024,00168,0.469602,0.00028,8.92
025,00167,0.443907,0.00026,8.15
026,00164,0.423665,0.00025,7.87
027,00164,0.371095,0.00023,7.38
028,00161,0.381602,0.00022,6.92
029,00163,0.348285,0.00022,6.82
030,00169,0.346095,0.00021,6.79
